Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2019-08-11,21:00,Ligue 1,Matchweek 1,Sun,Away,L,0,3,Paris S-G,0.3,3.5,26.0,47151.0,Anthony Briançon,4-5-1,4-3-3,Clément Turpin,Match Report,,Nimes
2019-08-17,20:00,Ligue 1,Matchweek 2,Sat,Home,L,1,2,Nice,1.5,1.9,55.0,13243.0,Anthony Briançon,4-5-1,4-3-3,François Letexier,Match Report,,Nimes
2019-08-25,15:00,Ligue 1,Matchweek 3,Sun,Away,D,2,2,Monaco,2.5,2.0,54.0,7438.0,Renaud Ripart,4-3-3,4-4-2,Amaury Delerue,Match Report,,Nimes
2019-08-31,20:00,Ligue 1,Matchweek 4,Sat,Home,W,3,0,Brest,2.4,0.7,39.0,12488.0,Anthony Briançon,4-4-2,4-5-1,Thomas Léonard,Match Report,,Nimes
2019-09-14,20:00,Ligue 1,Matchweek 5,Sat,Away,D,0,0,Dijon,0.4,1.3,42.0,11413.0,Anthony Briançon,4-3-3,4-3-3,Stéphanie Frappart,Match Report,,Nimes
2019-09-21,20:00,Ligue 1,Matchweek 6,Sat,Home,W,1,0,Toulouse,1.4,0.7,41.0,12258.0,Anthony Briançon,4-2-3-1,4-2-3-1,Karim Abed,Match Report,,Nimes
2019-09-25,19:00,Ligue 1,Matchweek 7,Wed,Away,L,0,1,Montpellier,0.8,0.6,45.0,16445.0,Anthony Briançon,5-3-2,3-4-1-2,Benoît Bastien,Match Report,,Nimes
2019-09-29,17:00,Ligue 1,Matchweek 8,Sun,Home,L,0,1,Saint-Étienne,1.8,0.7,65.0,13802.0,Anthony Briançon,4-3-3,4-2-3-1,Thomas Léonard,Match Report,,Nimes
2019-10-06,15:00,Ligue 1,Matchweek 9,Sun,Away,D,2,2,Lille,1.8,2.6,35.0,31542.0,Anthony Briançon,4-4-2,4-2-2-2,Mikael Lesage,Match Report,,Nimes
2019-10-19,20:00,Ligue 1,Matchweek 10,Sat,Home,D,1,1,Amiens,0.5,1.2,37.0,12189.0,Anthony Briançon,4-2-3-1,4-2-3-1,Jeremy Stinat,Match Report,,Nimes
2019-10-26,20:00,Ligue 1,Matchweek 11,Sat,Away,D,0,0,Reims,0.7,0.6,44.0,12329.0,Anthony Briançon,4-4-2,4-2-3-1,Clément Turpin,Match Report,,Nimes
2019-10-29,18:45,Coupe de la Ligue,Third round,Tue,Home,W,3,0,Lens,,,62.0,6284.0,Loïck Landre,4-2-2-2,3-4-3,Franck Schneider,Match Report,,Nimes
2019-11-09,20:00,Ligue 1,Matchweek 13,Sat,Away,L,1,4,Strasbourg,0.5,3.5,40.0,24745.0,Anthony Briançon,4-4-2,4-1-2-1-2,Ruddy Buquet,Match Report,,Nimes
2019-11-23,20:00,Ligue 1,Matchweek 14,Sat,Away,L,0,1,Angers,0.6,1.1,58.0,8714.0,Anthony Briançon,4-4-2,4-1-4-1,Thomas Léonard,Match Report,,Nimes
