Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2020-02-01,15:30,Bundesliga,Matchweek 20,Sat,Home,W,2,1,Leverkusen,2.6,3.0,36.0,24489.0,Benjamin Hübner,3-4-3,4-2-3-1,Deniz Aytekin,Match Report,,Hoffenheim
2020-02-05,20:45,DFB-Pokal,Round of 16,Wed,Away,L,3,4,Bayern Munich,,,40.0,71500.0,Benjamin Hübner,3-4-3,4-2-3-1,Sascha Stegemann,Match Report,,Hoffenheim
2020-02-08,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0,1,Freiburg,1.7,2.0,50.0,24000.0,Benjamin Hübner,5-3-2,4-2-2-2,Sven Jablonski,Match Report,,Hoffenheim
2020-02-15,15:30,Bundesliga,Matchweek 22,Sat,Home,L,2,3,Wolfsburg,3.3,3.5,57.0,22506.0,Benjamin Hübner,3-1-4-2,4-3-3,Sören Storks,Match Report,,Hoffenheim
2020-02-22,15:30,Bundesliga,Matchweek 23,Sat,Away,D,1,1,Gladbach,1.6,2.3,52.0,50250.0,Benjamin Hübner,4-2-2-2,4-3-3,Felix Brych,Match Report,,Hoffenheim
2020-02-29,15:30,Bundesliga,Matchweek 24,Sat,Home,L,0,6,Bayern Munich,0.3,4.2,34.0,30150.0,Benjamin Hübner,4-2-3-1,4-2-3-1,Christian Dingert,Match Report,,Hoffenheim
2020-03-07,15:30,Bundesliga,Matchweek 25,Sat,Away,D,1,1,Schalke 04,0.6,1.1,56.0,58324.0,Benjamin Hübner,3-1-4-2,3-4-3,Sven Jablonski,Match Report,,Hoffenheim
2020-05-16,15:30,Bundesliga,Matchweek 26,Sat,Home,L,0,3,Hertha BSC,2.6,1.4,51.0,,Benjamin Hübner,4-2-3-1,4-2-3-1,Christian Dingert,Match Report,,Hoffenheim
2020-05-23,15:30,Bundesliga,Matchweek 27,Sat,Away,D,1,1,Paderborn 07,2.0,0.8,61.0,,Benjamin Hübner,3-1-4-2,4-1-4-1,Bibiana Steinhaus,Match Report,,Hoffenheim
2020-05-27,20:30,Bundesliga,Matchweek 28,Wed,Home,W,3,1,Köln,1.2,2.2,43.0,,Benjamin Hübner,4-2-3-1,4-2-3-1,Felix Brych,Match Report,,Hoffenheim
2020-05-30,15:30,Bundesliga,Matchweek 29,Sat,Away,W,1,0,Mainz 05,2.1,1.4,50.0,,Oliver Baumann,4-2-3-1,4-2-3-1,Sascha Stegemann,Match Report,,Hoffenheim
2020-06-06,15:30,Bundesliga,Matchweek 30,Sat,Away,D,2,2,Düsseldorf,1.2,2.8,32.0,,Benjamin Hübner,4-2-3-1,3-5-2,Sören Storks,Match Report,,Hoffenheim
2020-06-12,20:30,Bundesliga,Matchweek 31,Fri,Home,L,0,2,RB Leipzig,1.9,1.5,51.0,,Oliver Baumann,3-4-1-2,4-3-1-2,Tobias Welz,Match Report,,Hoffenheim
2020-06-17,20:30,Bundesliga,Matchweek 32,Wed,Away,W,3,1,Augsburg,2.6,0.6,56.0,,Benjamin Hübner,3-1-4-2,4-2-3-1,Deniz Aytekin,Match Report,,Hoffenheim
2020-06-20,15:30,Bundesliga,Matchweek 33,Sat,Home,W,4,0,Union Berlin,2.3,0.5,59.0,,Benjamin Hübner,3-1-4-2,3-4-1-2,Robert Hartmann,Match Report,,Hoffenheim
2020-06-27,15:30,Bundesliga,Matchweek 34,Sat,Away,W,4,0,Dortmund,3.9,0.2,41.0,,Benjamin Hübner,3-5-2,3-4-3,Guido Winkmann,Match Report,,Hoffenheim
2018-08-18,15:30,DFB-Pokal,First round,Sat,Away,W,6,1,Kaiserslautern,,,66.0,22818.0,Kevin Vogt,3-5-2,4-2-2-2,Patrick Ittrich,Match Report,,Hoffenheim
2018-08-24,20:30,Bundesliga,Matchweek 1,Fri,Away,L,1,3,Bayern Munich,0.7,2.7,33.0,75000.0,Kevin Vogt,3-5-2,4-1-4-1,Bastian Dankert,Match Report,,Hoffenheim
